number_of_episode,reward
135,-166.08614278535
136,-161.272222788213
137,-161.240033394692
138,-168.179050087385
139,-164.460770992566
140,-165.519361180304
141,-170.218534734807
142,-167.644267695769
143,-160.817327059492
144,-163.187117089898
145,-164.6432401813
146,-164.67941061402
147,-156.764992032069
148,-165.50960495003
149,-165.688695947937
150,-161.373761487724
151,-154.847766913013
152,-163.725367904723
153,-159.279115057338
154,-157.276025702933
155,-161.413045436937
156,-155.206398034481
157,-160.075110662552
158,-155.09930256813
159,-156.425380730984
160,-156.88888958985
161,-163.626474174885
162,-154.824302072647
163,-158.999230727921
164,-160.861297528717
165,-163.877864826996
166,-154.798149783936
167,-153.845277386982
168,-161.739499886136
169,-154.30668167898
170,-156.610589050273
171,-152.820436373959
172,-159.666352339557
173,-150.999249441191
174,-153.970889273327
175,-145.128134254602
176,-156.878121396983
177,-154.044918972756
178,-154.315107685341
179,-146.318507113654
180,-145.71695066311
181,-152.56353486951
182,-149.41947225443
183,-142.731622045665
184,-149.253983781989
185,-149.2815376353
186,-156.592951715628
187,-157.608293043714
188,-143.889903103011
189,-141.24482854025
190,-146.904788057165
191,-148.689230392566
192,-149.053589859458
193,-142.902378484291
194,-139.491276537537
195,-142.151910113469
196,-140.707945553938
197,-143.062125260931
198,-153.178765415329
199,-149.772109526717
200,-138.968915700137
201,-142.711329292451
202,-148.242626360289
203,-151.015867386708
204,-139.207803914927
205,-146.748057896829
206,-145.364842645483
207,-141.618957332323
208,-139.838588424302
209,-137.760986248354
210,-143.486846352821
211,-140.686952663464
212,-143.912899203792
213,-141.67370769879
214,-137.913613914565
215,-137.772939957637
216,-134.805669582562
217,-138.225370147178
218,-138.393952117291
219,-143.492389665716
220,-140.410202095522
221,-140.163692677768
222,-141.204642356539
223,-127.31556153645
224,-138.629343044194
225,-129.993628656383
226,-135.577216721485
227,-134.03811723598
228,-136.300738676429
229,-134.750849497076
230,-135.610181340605
231,-137.403891908764
232,-132.428364266595
233,-137.136231449499
234,-141.201749714383
235,-133.510829466877
236,-142.110988084383
237,-128.833797856599
238,-129.35757724734
239,-125.594559751816
240,-134.311828230337
241,-141.894688259899
242,-128.376111765631
243,-132.654250831361
244,-126.065839829
245,-120.837717644442
246,-129.045173150644
247,-132.184354671373
248,-130.910475621198
249,-127.242533692315
250,-131.673519052276
251,-132.627479205076
252,-128.773387522123
253,-121.96945620821
254,-125.056372038685
255,-128.188073499925
256,-131.203119907923
257,-126.526711970317
258,-123.465448961426
259,-130.366968403952
260,-127.016005034001
261,-123.754539903382
262,-122.669824591755
263,-125.279622167791
264,-123.579568167742
265,-127.73299864932
266,-127.577464273256
267,-122.496064413127
268,-122.931806753484
269,-120.588765212227
270,-122.982076432049
271,-124.895833998487
272,-124.814864318038
273,-122.576605071915
274,-123.644105625007
275,-122.244078289146
276,-122.647803907258
277,-116.939605695054
278,-123.623454138126
279,-124.411745872348
280,-126.823749863062
281,-121.521003735091
282,-126.243349146349
283,-122.286499931895
284,-121.039717655747
285,-125.079225203882
286,-120.004555382055
287,-124.783291139147
288,-122.699920758183
289,-118.168832137834
290,-122.279192453896
291,-123.703057747684
292,-119.969585285292
293,-118.026158330793
294,-125.693303734348
295,-118.479068011922
296,-126.030103892764
297,-122.256507369162
298,-118.653747151882
299,-118.217441579177
300,-117.693691855154
301,-117.016616818814
302,-108.37342584381
303,-117.868195308753
304,-118.475346799043
305,-114.901840760168
306,-119.577996533683
307,-118.041968074751
308,-120.126133192751
309,-119.713552237029
310,-114.171471872894
311,-112.861340880868
312,-113.480738242902
313,-116.075510478256
314,-121.152251277783
315,-118.676797154012
316,-116.920545693481
317,-114.575368717623
318,-113.176684397711
319,-111.427847154156
